Date/Time (UT)	X (nT)	Y (nT)	Z (nT)	F (nT)

2023-04-30 20:26:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:27:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:28:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:29:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:30:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:31:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:32:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:33:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:34:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:35:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:36:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:37:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:38:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:39:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:40:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:41:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:42:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:43:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:44:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:45:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:46:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:47:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:48:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:49:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:50:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:51:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:52:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:53:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:54:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:55:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:56:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:57:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:58:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 20:59:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:00:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:01:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:02:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:03:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:04:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:05:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:06:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:07:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:08:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:09:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:10:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:11:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:12:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:13:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:14:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:15:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:16:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:17:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:18:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:19:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:20:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:21:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:22:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:23:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:24:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:25:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:26:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:27:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:28:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:29:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:30:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:31:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:32:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:33:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:34:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:35:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:36:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:37:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:38:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:39:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:40:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:41:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:42:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:43:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:44:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:45:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:46:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:47:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:48:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:49:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:50:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:51:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:52:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:53:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:54:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:55:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:56:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:57:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:58:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 21:59:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:00:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:01:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:02:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:03:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:04:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:05:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:06:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:07:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:08:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:09:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:10:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:11:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:12:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:13:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:14:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:15:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:16:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:17:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:18:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:19:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:20:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:21:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:22:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:23:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:24:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:25:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:26:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:27:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:28:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:29:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:30:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:31:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:32:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:33:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:34:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:35:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:36:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:37:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:38:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:39:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:40:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:41:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:42:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:43:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:44:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:45:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:46:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:47:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:48:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:49:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:50:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:51:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:52:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:53:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:54:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:55:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:56:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:57:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:58:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 22:59:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:00:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:01:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:02:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:03:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:04:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:05:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:06:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:07:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:08:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:09:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:10:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:11:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:12:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:13:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:14:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:15:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:16:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:17:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:18:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:19:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:20:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:21:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:22:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:23:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:24:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:25:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:26:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:27:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:28:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:29:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:30:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:31:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:32:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:33:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:34:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:35:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:36:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:37:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:38:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:39:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:40:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:41:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:42:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:43:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:44:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:45:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:46:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:47:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:48:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:49:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:50:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:51:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:52:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:53:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:54:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:55:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:56:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:57:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:58:00	99999.00	99999.00	99999.00	99999.00	
2023-04-30 23:59:00	99999.00	99999.00	99999.00	99999.00	
